biomass_id,biomass_name,property,unit,ar_value
1,bark& alder& red,Aluminium (Al),mg/kg (dry),40
1,bark& alder& red,Barium (Ba),mg/kg (dry),120
1,bark& alder& red,Calcium (Ca),mg/kg (dry),14000
1,bark& alder& red,Copper (Cu),mg/kg (dry),6.2
1,bark& alder& red,Iron (Fe),mg/kg (dry),52
1,bark& alder& red,Magnesium (Mg),mg/kg (dry),790
1,bark& alder& red,Manganese (Mn),mg/kg (dry),64
1,bark& alder& red,Phosphorus (P),mg/kg (dry),740
1,bark& alder& red,Silicon (Si),mg/kg (dry),220
2,bark& ash& green,Aluminium (Al),mg/kg (dry),83
2,bark& ash& green,Barium (Ba),mg/kg (dry),86
2,bark& ash& green,Calcium (Ca),mg/kg (dry),18000
2,bark& ash& green,Copper (Cu),mg/kg (dry),83
2,bark& ash& green,Iron (Fe),mg/kg (dry),120
2,bark& ash& green,Magnesium (Mg),mg/kg (dry),1900
2,bark& ash& green,Manganese (Mn),mg/kg (dry),18
2,bark& ash& green,Phosphorus (P),mg/kg (dry),710
2,bark& ash& green,Silicon (Si),mg/kg (dry),560
3,bark& ash& white,Aluminium (Al),mg/kg (dry),160
3,bark& ash& white,Barium (Ba),mg/kg (dry),86
3,bark& ash& white,Calcium (Ca),mg/kg (dry),16000
3,bark& ash& white,Copper (Cu),mg/kg (dry),20
3,bark& ash& white,Iron (Fe),mg/kg (dry),160
3,bark& ash& white,Magnesium (Mg),mg/kg (dry),2000
3,bark& ash& white,Manganese (Mn),mg/kg (dry),14
3,bark& ash& white,Phosphorus (P),mg/kg (dry),830
3,bark& ash& white,Silicon (Si),mg/kg (dry),610
4,bark& aspen& quaking,Aluminium (Al),mg/kg (dry),28
4,bark& aspen& quaking,Barium (Ba),mg/kg (dry),120
4,bark& aspen& quaking,Calcium (Ca),mg/kg (dry),19000
4,bark& aspen& quaking,Copper (Cu),mg/kg (dry),31
4,bark& aspen& quaking,Iron (Fe),mg/kg (dry),52
4,bark& aspen& quaking,Magnesium (Mg),mg/kg (dry),960
4,bark& aspen& quaking,Manganese (Mn),mg/kg (dry),19
4,bark& aspen& quaking,Phosphorus (P),mg/kg (dry),740
4,bark& aspen& quaking,Silicon (Si),mg/kg (dry),150
5,bark& American beech,Aluminium (Al),mg/kg (dry),22
5,bark& American beech,Barium (Ba),mg/kg (dry),330
5,bark& American beech,Calcium (Ca),mg/kg (dry),34000
5,bark& American beech,Copper (Cu),mg/kg (dry),8.7
5,bark& American beech,Iron (Fe),mg/kg (dry),220
5,bark& American beech,Magnesium (Mg),mg/kg (dry),430
5,bark& American beech,Manganese (Mn),mg/kg (dry),290
5,bark& American beech,Phosphorus (P),mg/kg (dry),860
5,bark& American beech,Silicon (Si),mg/kg (dry),5200
6,bark& birch& white,Aluminium (Al),mg/kg (dry),84
6,bark& birch& white,Barium (Ba),mg/kg (dry),220
6,bark& birch& white,Calcium (Ca),mg/kg (dry),7000
6,bark& birch& white,Copper (Cu),mg/kg (dry),5.8
6,bark& birch& white,Iron (Fe),mg/kg (dry),77
6,bark& birch& white,Magnesium (Mg),mg/kg (dry),610
6,bark& birch& white,Manganese (Mn),mg/kg (dry),340
6,bark& birch& white,Silicon (Si),mg/kg (dry),290
7,bark& cottonwood& black (hard wood),Aluminium (Al),mg/kg (dry),72
7,bark& cottonwood& black (hard wood),Barium (Ba),mg/kg (dry),540
7,bark& cottonwood& black (hard wood),Calcium (Ca),mg/kg (dry),11000
7,bark& cottonwood& black (hard wood),Copper (Cu),mg/kg (dry),8.6
7,bark& cottonwood& black (hard wood),Iron (Fe),mg/kg (dry),89
7,bark& cottonwood& black (hard wood),Magnesium (Mg),mg/kg (dry),1400
7,bark& cottonwood& black (hard wood),Manganese (Mn),mg/kg (dry),66
7,bark& cottonwood& black (hard wood),Phosphorus (P),mg/kg (dry),780
7,bark& cottonwood& black (hard wood),Silicon (Si),mg/kg (dry),380
8,bark& cottonwood& eastern (hard wood),Aluminium (Al),mg/kg (dry),260
8,bark& cottonwood& eastern (hard wood),Barium (Ba),mg/kg (dry),13
8,bark& cottonwood& eastern (hard wood),Calcium (Ca),mg/kg (dry),25000
8,bark& cottonwood& eastern (hard wood),Copper (Cu),mg/kg (dry),6.2
8,bark& cottonwood& eastern (hard wood),Iron (Fe),mg/kg (dry),170
8,bark& cottonwood& eastern (hard wood),Magnesium (Mg),mg/kg (dry),960
8,bark& cottonwood& eastern (hard wood),Manganese (Mn),mg/kg (dry),12
8,bark& cottonwood& eastern (hard wood),Silicon (Si),mg/kg (dry),850
9,bark& fir& balsam,Aluminium (Al),mg/kg (dry),240
9,bark& fir& balsam,Barium (Ba),mg/kg (dry),240
9,bark& fir& balsam,Calcium (Ca),mg/kg (dry),9800
9,bark& fir& balsam,Copper (Cu),mg/kg (dry),4.3
9,bark& fir& balsam,Iron (Fe),mg/kg (dry),130
9,bark& fir& balsam,Magnesium (Mg),mg/kg (dry),600
9,bark& fir& balsam,Manganese (Mn),mg/kg (dry),260
9,bark& fir& balsam,Phosphorus (P),mg/kg (dry),600
9,bark& fir& balsam,Silicon (Si),mg/kg (dry),470
10,bark& douglas  fir,Aluminium (Al),mg/kg (dry),240
10,bark& douglas  fir,Barium (Ba),mg/kg (dry),100
10,bark& douglas  fir,Calcium (Ca),mg/kg (dry),2800
10,bark& douglas  fir,Copper (Cu),mg/kg (dry),5.6
10,bark& douglas  fir,Iron (Fe),mg/kg (dry),60
10,bark& douglas  fir,Magnesium (Mg),mg/kg (dry),250
10,bark& douglas  fir,Manganese (Mn),mg/kg (dry),92
10,bark& douglas  fir,Phosphorus (P),mg/kg (dry),220
10,bark& douglas  fir,Silicon (Si),mg/kg (dry),280
11,bark& larch& eastern,Aluminium (Al),mg/kg (dry),56
11,bark& larch& eastern,Barium (Ba),mg/kg (dry),230
11,bark& larch& eastern,Calcium (Ca),mg/kg (dry),16000
11,bark& larch& eastern,Copper (Cu),mg/kg (dry),3.6
11,bark& larch& eastern,Iron (Fe),mg/kg (dry),50
11,bark& larch& eastern,Magnesium (Mg),mg/kg (dry),390
11,bark& larch& eastern,Manganese (Mn),mg/kg (dry),440
11,bark& larch& eastern,Phosphorus (P),mg/kg (dry),380
12,bark& fir& eastern hemlock (soft wood),Aluminium (Al),mg/kg (dry),190
12,bark& fir& eastern hemlock (soft wood),Barium (Ba),mg/kg (dry),32
12,bark& fir& eastern hemlock (soft wood),Calcium (Ca),mg/kg (dry),5400
12,bark& fir& eastern hemlock (soft wood),Copper (Cu),mg/kg (dry),4.1
